customer_id,name,email,signup_date,source,region,plan_selected,marketing_opt_in,age,gender
CUST00001,Nicole Stewart,nicole1@example.com,2024-02-01,LinkedIn,West,basic,Yes,29.0,Male
CUST00002,Rachel Allen,rachel2@example.com,2024-03-01,Google,North,PREMIUM,Yes,34.0,Non-Binary
CUST00003,Zachary Sanchez,zachary3@mailhub.org,2024-04-01,YouTube,Unknown,Pro,No,40.0,Male
CUST00004,,matthew4@mailhub.org,2024-05-01,LinkedIn,West,Premium,No,25.0,Other
CUST00005,John Gonzales,john5@mailhub.org,2024-06-01,Facebook,South,Premium,No,34.0,Other
CUST00006,Crystal Mason,crystal6@mailhub.org,2024-07-01,YouTube,North,UnknownPlan,Yes,40.0,male
CUST00007,Michael Bailey,michael7@mailhub.org,2024-08-01,YouTube,Central,Pro,Yes,60.0,Other
CUST00008,Bianca Morris,bianca8@example.com,2024-09-01,Referral,West,Pro,Yes,25.0,male
CUST00009,Cindy Anderson,,2024-10-01,Google,East,PREMIUM,No,29.0,FEMALE
CUST00010,Kendra Gill,kendra10@mailhub.org,2024-11-01,Google,Central,PRO,No,29.0,Male
CUST00011,Lisa Miller,lisa11@mailhub.org,2024-12-01,Facebook,Central,Premium,Yes,40.0,FEMALE
CUST00031,Keith Davis,keith31@mailhub.org,2024-01-02,Google,West,PREMIUM,Yes,40.0,Female
CUST00032,Paul Morse,paul32@example.com,2024-02-02,LinkedIn,West,PREMIUM,No,29.0,male
CUST00033,Jodi Curry,jodi33mailhub.org,2024-03-02,YouTube,East,basic,Yes,,male
CUST00034,Anne Moreno,anne34@example.com,2024-04-02,Instagram,South,PRO,No,40.0,Male
CUST00035,Antonio Martinez,antonio35@mailhub.org,2024-05-02,Referral,South,basic,No,21.0,male
CUST00036,,,2024-06-02,Google,North,PREMIUM,Yes,29.0,Non-Binary
CUST00037,Thomas Ruiz,thomas37@inboxmail.net,2024-07-02,Facebook,Unknown,Premium,Yes,,Female
CUST00038,Ashley Espinoza,ashley38@example.com,2024-08-02,Facebook,East,Basic,No,40.0,male
CUST00039,Craig Walker,craig39@mailhub.org,2024-09-02,LinkedIn,East,Basic,No,25.0,Other
CUST00040,Mary Phillips,mary40@mailhub.org,2024-10-02,Instagram,East,Premium,No,,Male
CUST00041,Christopher Zuniga,christopher41@mailhub.org,2024-11-02,Google,Unknown,PREMIUM,Yes,29.0,Female
CUST00042,Antonio Wilson Jr.,antonio42@example.com,2024-12-02,Instagram,North,Unknown,No,34.0,Male
CUST00060,Steven Allen,steven60@inboxmail.net,2024-01-03,LinkedIn,East,Basic,No,53.0,FEMALE
CUST00061,Chelsey Ford,chelsey61@inboxmail.net,2024-02-03,LinkedIn,North,PRO,No,53.0,FEMALE
CUST00062,Michael Alvarez,michael62@example.com,2024-03-03,Google,Unknown,PRO,Yes,47.0,Non-Binary
CUST00063,Tamara Cox,,2024-04-03,Referral,Central,Pro,No,21.0,male
CUST00064,Alyssa Griffith,alyssa64@inboxmail.net,2024-05-03,Referral,North,PRO,Yes,53.0,Other
CUST00065,Richard Hudson,richard65@mailhub.org,2024-06-03,Referral,Unknown,Premium,No,60.0,FEMALE
CUST00066,Chris Tucker,chris66@inboxmail.net,2024-07-03,Facebook,Central,PREMIUM,Yes,40.0,Non-Binary
CUST00067,Thomas Brown IV,thomas67@mailhub.org,2024-08-03,Instagram,East,Premium,No,60.0,Other
CUST00068,Jesus Cantu,jesus68@example.com,2024-09-03,Facebook,East,Pro,Yes,53.0,Female
CUST00069,Jean Gay,jean69@mailhub.org,2024-10-03,Instagram,South,Premium,Yes,40.0,Female
CUST00070,Mary Martin,mary70@mailhub.org,2024-11-03,Referral,North,PREMIUM,No,40.0,FEMALE
CUST00071,Joe Hunt,joe71@mailhub.org,2024-12-03,Referral,South,basic,Yes,29.0,Non-Binary
CUST00091,Melissa White,melissa91@example.com,2024-01-04,,West,Pro,Yes,40.0,male
CUST00092,Melissa Daniels,melissa92@mailhub.org,2024-02-04,Referral,North,basic,No,29.0,male
CUST00093,Anna Meza,anna93@example.com,2024-03-04,??,West,Pro,Yes,40.0,Other
CUST00094,Nathan Hayes,nathan94@example.com,2024-04-04,Instagram,North,basic,Yes,40.0,Other
CUST00095,Jennifer Silva,jennifer95@example.com,2024-05-04,Google,Unknown,basic,No,34.0,Other
CUST00096,Michelle Mcguire,michelle96@mailhub.org,2024-06-04,Google,North,PREMIUM,No,29.0,male
CUST00097,Bryan George,bryan97@inboxmail.net,2024-07-04,YouTube,East,Basic,No,34.0,Other
CUST00098,Wayne Hopkins,wayne98@inboxmail.net,2024-08-04,YouTube,North,Pro,Yes,40.0,Other
CUST00099,Chelsey Rodriguez,,2024-09-04,Referral,Unknown,Pro,No,34.0,FEMALE
CUST00100,John Perez,john0@inboxmail.net,2024-10-04,Facebook,East,PREMIUM,No,34.0,Unspecified
CUST00101,Angelica Arroyo,angelica1@mailhub.org,2024-11-04,Google,East,Premium,Yes,21.0,123
CUST00102,Michael Fitzgerald,michael2@inboxmail.net,2024-12-04,Instagram,North,Premium,No,40.0,Male
CUST00121,Carolyn Castro,carolyn21@mailhub.org,2024-01-05,YouTube,Unknown,Basic,Yes,34.0,male
CUST00122,Kristine Baker,kristine22@example.com,2024-02-05,Referral,South,Basic,Yes,53.0,Other
CUST00123,Karen Hunter,karen23@mailhub.org,2024-03-05,LinkedIn,South,Premium,No,34.0,male
CUST00124,Samuel Bautista,samuel24@example.com,2024-04-05,Facebook,West,Pro,Yes,60.0,Other
CUST00125,Valerie Miller,valerie25@inboxmail.net,2024-05-05,Instagram,East,Pro,No,21.0,Male
CUST00126,Ronald Robinson,,2024-06-05,Instagram,North,basic,No,,Male
CUST00127,Larry Moore,larry27@example.com,2024-07-05,YouTube,North,PRO,No,40.0,Male
CUST00128,Leslie Kennedy,leslie28@inboxmail.net,2024-08-05,Referral,West,PREMIUM,No,29.0,Male
CUST00129,Ashley Francis,ashley29@example.com,2024-09-05,Referral,West,Pro,No,,Unspecified
CUST00130,Lori Jones,lori30@inboxmail.net,2024-10-05,Google,North,Premium,No,34.0,Male
CUST00131,Andrea Walker,andrea31@mailhub.org,2024-11-05,Facebook,South,basic,No,25.0,male
CUST00132,Patrick Kelley,patrick32@inboxmail.net,2024-12-05,LinkedIn,South,basic,No,25.0,FEMALE
CUST00152,Anthony Alvarado,anthony52@example.com,2024-01-06,YouTube,South,Basic,No,60.0,Male
CUST00153,Andrew Ford,,2024-02-06,Instagram,North,PREMIUM,Yes,34.0,Other
CUST00154,Barbara Castaneda,barbara54@example.com,2024-03-06,Google,North,Pro,No,21.0,Other
CUST00155,Brandon Ashley,brandon55@mailhub.org,2024-04-06,LinkedIn,East,PRO,No,53.0,Male
CUST00156,Robert Ibarra,robert56@example.com,2024-05-06,Referral,East,Unknown,No,29.0,Female
CUST00157,Louis Gibson,louis57@mailhub.org,2024-06-06,Instagram,Central,Pro,No,34.0,Male
CUST00158,Jonathan Griffin,jonathan58@mailhub.org,2024-07-06,Google,Central,Pro,No,21.0,Other
CUST00160,Christopher Brown,christopher60@inboxmail.net,2024-09-06,YouTube,South,Premium,Yes,40.0,Female
CUST00162,Mr. Tyler Stokes MD,,2024-11-06,Instagram,East,Premium,Yes,40.0,Other
CUST00163,Jacqueline Spears,jacqueline63@example.com,2024-12-06,Instagram,South,UnknownPlan,No,53.0,FEMALE
